-1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e+00,7.500000000000000000e+00,1.000000000000000000e+01,1.250000000000000000e+01,1.500000000000000000e+01,1.750000000000000000e+01,2.000000000000000000e+01,2.250000000000000000e+01,2.500000000000000000e+01,2.750000000000000000e+01,3.000000000000000000e+01,3.250000000000000000e+01,3.500000000000000000e+01,3.750000000000000000e+01,4.000000000000000000e+01,4.250000000000000000e+01,4.500000000000000000e+01,4.750000000000000000e+01
-5.000000000000000000e+01,0.000000000000000000e+00,1.610000000000000098e+00,3.220000000000000195e+00,4.849999999999999645e+00,6.469999999999999751e+00,8.099999999999999645e+00,9.740000000000000213e+00,1.138000000000000078e+01,1.302999999999999936e+01,1.468999999999999950e+01,1.635000000000000142e+01,1.801000000000000156e+01,1.969000000000000128e+01,2.135999999999999943e+01,2.305000000000000071e+01,2.473999999999999844e+01,2.644000000000000128e+01,2.814000000000000057e+01,2.985000000000000142e+01,3.157000000000000028e+01
-4.500000000000000000e+01,0.000000000000000000e+00,1.770000000000000018e+00,3.549999999999999822e+00,5.330000000000000071e+00,7.120000000000000107e+00,8.910000000000000142e+00,1.071000000000000085e+01,1.250999999999999979e+01,1.432000000000000028e+01,1.614000000000000057e+01,1.796000000000000085e+01,1.978999999999999915e+01,2.162000000000000099e+01,2.346000000000000085e+01,2.530999999999999872e+01,2.716000000000000014e+01,2.901999999999999957e+01,3.087999999999999901e+01,3.275999999999999801e+01,3.463000000000000256e+01
-4.000000000000000000e+01,0.000000000000000000e+00,1.919999999999999929e+00,3.839999999999999858e+00,5.769999999999999574e+00,7.700000000000000178e+00,9.640000000000000568e+00,1.158999999999999986e+01,1.353999999999999915e+01,1.550000000000000000e+01,1.746000000000000085e+01,1.942999999999999972e+01,2.139999999999999858e+01,2.337999999999999901e+01,2.537000000000000099e+01,2.735999999999999943e+01,2.935999999999999943e+01,3.135999999999999943e+01,3.336999999999999744e+01,3.539000000000000057e+01,3.740999999999999659e+01
-3.500000000000000000e+01,0.000000000000000000e+00,2.049999999999999822e+00,4.110000000000000320e+00,6.169999999999999929e+00,8.230000000000000426e+00,1.030000000000000071e+01,1.238000000000000078e+01,1.446000000000000085e+01,1.655000000000000071e+01,1.864000000000000057e+01,2.073999999999999844e+01,2.285000000000000142e+01,2.494999999999999929e+01,2.707000000000000028e+01,2.919000000000000128e+01,3.132000000000000028e+01,3.345000000000000284e+01,3.559000000000000341e+01,3.772999999999999687e+01,3.988000000000000256e+01
-3.000000000000000000e+01,0.000000000000000000e+00,2.169999999999999929e+00,4.339999999999999858e+00,6.519999999999999574e+00,8.699999999999999289e+00,1.088000000000000078e+01,1.308000000000000007e+01,1.526999999999999957e+01,1.746999999999999886e+01,1.967999999999999972e+01,2.189000000000000057e+01,2.410999999999999943e+01,2.632999999999999829e+01,2.855999999999999872e+01,3.078999999999999915e+01,3.302000000000000313e+01,3.527000000000000313e+01,3.750999999999999801e+01,3.977000000000000313e+01,4.203000000000000114e+01
-2.500000000000000000e+01,0.000000000000000000e+00,2.270000000000000018e+00,4.540000000000000036e+00,6.820000000000000284e+00,9.099999999999999645e+00,1.138000000000000078e+01,1.366999999999999993e+01,1.596000000000000085e+01,1.826000000000000156e+01,2.055999999999999872e+01,2.287000000000000099e+01,2.517999999999999972e+01,2.750000000000000000e+01,2.982000000000000028e+01,3.214000000000000057e+01,3.446999999999999886e+01,3.679999999999999716e+01,3.914000000000000057e+01,4.147999999999999687e+01,4.382999999999999829e+01
-2.000000000000000000e+01,0.000000000000000000e+00,2.350000000000000089e+00,4.709999999999999964e+00,7.059999999999999609e+00,9.429999999999999716e+00,1.178999999999999915e+01,1.416000000000000014e+01,1.653000000000000114e+01,1.891000000000000014e+01,2.128999999999999915e+01,2.367000000000000171e+01,2.605999999999999872e+01,2.844999999999999929e+01,3.083999999999999986e+01,3.324000000000000199e+01,3.564000000000000057e+01,3.804999999999999716e+01,4.046000000000000085e+01,4.286999999999999744e+01,4.528999999999999915e+01
-1.500000000000000000e+01,0.000000000000000000e+00,2.419999999999999929e+00,4.839999999999999858e+00,7.259999999999999787e+00,9.679999999999999716e+00,1.210999999999999943e+01,1.453999999999999915e+01,1.696999999999999886e+01,1.941000000000000014e+01,2.183999999999999986e+01,2.428999999999999915e+01,2.673000000000000043e+01,2.917999999999999972e+01,3.162999999999999901e+01,3.407999999999999829e+01,3.653000000000000114e+01,3.899000000000000199e+01,4.145000000000000284e+01,4.392000000000000171e+01,4.638000000000000256e+01
-1.000000000000000000e+01,0.000000000000000000e+00,2.459999999999999964e+00,4.929999999999999716e+00,7.389999999999999680e+00,9.859999999999999432e+00,1.233000000000000007e+01,1.481000000000000050e+01,1.728000000000000114e+01,1.976000000000000156e+01,2.223000000000000043e+01,2.471000000000000085e+01,2.719999999999999929e+01,2.967999999999999972e+01,3.217000000000000171e+01,3.464999999999999858e+01,3.714000000000000057e+01,3.963000000000000256e+01,4.213000000000000256e+01,4.461999999999999744e+01,4.711999999999999744e+01
-5.000000000000000000e+00,0.000000000000000000e+00,2.490000000000000213e+00,4.980000000000000426e+00,7.480000000000000426e+00,9.970000000000000639e+00,1.246000000000000085e+01,1.496000000000000085e+01,1.746000000000000085e+01,1.994999999999999929e+01,2.244999999999999929e+01,2.494999999999999929e+01,2.744999999999999929e+01,2.994999999999999929e+01,3.246000000000000085e+01,3.496000000000000085e+01,3.746000000000000085e+01,3.996999999999999886e+01,4.247999999999999687e+01,4.497999999999999687e+01,4.749000000000000199e+01
